CMDLINE /oscar/home/ndilullo/work/tensorflow.venv/bin/python memprof.py
MEM 1602.562500 1772130293.9239
MEM 1628.562500 1772130294.0243
MEM 1652.562500 1772130294.1247
MEM 1678.562500 1772130294.2250
MEM 1704.562500 1772130294.3254
MEM 1719.062500 1772130294.4257
MEM 1719.062500 1772130294.5261
MEM 1719.062500 1772130294.6266
MEM 1722.792969 1772130294.7270
MEM 1746.792969 1772130294.8273
MEM 1772.792969 1772130294.9277
MEM 1798.792969 1772130295.0281
MEM 1824.792969 1772130295.1284
MEM 1850.792969 1772130295.2288
MEM 1874.792969 1772130295.3291
MEM 1900.792969 1772130295.4295
MEM 1926.792969 1772130295.5298
MEM 1952.792969 1772130295.6302
MEM 1978.792969 1772130295.7305
MEM 2004.792969 1772130295.8308
MEM 2030.792969 1772130295.9312
MEM 2056.792969 1772130296.0315
MEM 2080.792969 1772130296.1318
MEM 2106.792969 1772130296.2322
MEM 2110.792969 1772130296.3326
MEM 2110.792969 1772130296.4330
MEM 2110.792969 1772130296.5334
MEM 2123.417969 1772130296.6338
MEM 2149.417969 1772130296.7342
MEM 2175.417969 1772130296.8346
MEM 2201.417969 1772130296.9349
MEM 2227.417969 1772130297.0353
MEM 2253.417969 1772130297.1357
MEM 2279.417969 1772130297.2360
MEM 2305.417969 1772130297.3364
MEM 2331.417969 1772130297.4368
MEM 2357.417969 1772130297.5371
MEM 2381.417969 1772130297.6375
MEM 2407.417969 1772130297.7378
MEM 2433.417969 1772130297.8382
MEM 2459.417969 1772130297.9385
MEM 2485.417969 1772130298.0388
MEM 2511.417969 1772130298.1392
MEM 2526.417969 1772130298.2395
MEM 2526.417969 1772130298.3399
MEM 2526.417969 1772130298.4403
MEM 2530.175781 1772130298.5407
MEM 2554.265625 1772130298.6410
MEM 2580.265625 1772130298.7414
MEM 2606.265625 1772130298.8418
MEM 2632.265625 1772130298.9422
MEM 2658.265625 1772130299.0425
MEM 2684.265625 1772130299.1428
MEM 2710.265625 1772130299.2432
MEM 2736.265625 1772130299.3435
MEM 2762.265625 1772130299.4438
MEM 2788.265625 1772130299.5442
MEM 2814.265625 1772130299.6446
MEM 2840.265625 1772130299.7450
MEM 2866.265625 1772130299.8453
MEM 2892.265625 1772130299.9457
MEM 2918.265625 1772130300.0461
MEM 2942.265625 1772130300.1464
MEM 2942.265625 1772130300.2468
MEM 2942.265625 1772130300.3473
MEM 2942.265625 1772130300.4477
MEM 2955.320312 1772130300.5481
MEM 2981.320312 1772130300.6485
MEM 3007.320312 1772130300.7488
MEM 3033.320312 1772130300.8492
MEM 3059.320312 1772130300.9495
MEM 3085.320312 1772130301.0498
MEM 3111.320312 1772130301.1502
MEM 3137.320312 1772130301.2505
MEM 3163.320312 1772130301.3508
MEM 3189.320312 1772130301.4512
MEM 3215.320312 1772130301.5515
MEM 3241.320312 1772130301.6518
MEM 3267.320312 1772130301.7522
MEM 3293.320312 1772130301.8525
MEM 3319.320312 1772130301.9528
MEM 3345.320312 1772130302.0532
MEM 3370.320312 1772130302.1535
MEM 3370.320312 1772130302.2539
MEM 3370.320312 1772130302.3543
MEM 3370.320312 1772130302.4547
MEM 3382.378906 1772130302.5551
MEM 3408.378906 1772130302.6555
MEM 3434.378906 1772130302.7558
MEM 3460.378906 1772130302.8562
MEM 3486.378906 1772130302.9566
MEM 3512.378906 1772130303.0569
MEM 3538.378906 1772130303.1573
MEM 3562.378906 1772130303.2576
MEM 3588.378906 1772130303.3580
MEM 3614.378906 1772130303.4584
MEM 3640.378906 1772130303.5587
MEM 3666.378906 1772130303.6591
MEM 3692.378906 1772130303.7594
