CMDLINE /oscar/home/ndilullo/work/tensorflow.venv/bin/python pfn_example_modified.py
MEM 1661.546875 1772130024.3842
MEM 1775.046875 1772130024.4845
MEM 2016.042969 1772130024.5849
MEM 1901.046875 1772130024.6852
MEM 1905.046875 1772130024.7857
MEM 1905.046875 1772130024.8860
MEM 1907.046875 1772130024.9863
MEM 1909.546875 1772130025.0866
MEM 1912.546875 1772130025.1869
MEM 1915.046875 1772130025.2872
MEM 1917.546875 1772130025.3875
MEM 1926.046875 1772130025.4878
MEM 1934.558594 1772130025.5882
MEM 1942.058594 1772130025.6886
MEM 1958.558594 1772130025.7891
MEM 1963.058594 1772130025.8894
MEM 1968.558594 1772130025.9897
MEM 1974.058594 1772130026.0900
MEM 1981.996094 1772130026.1904
MEM 1987.496094 1772130026.2907
MEM 1989.996094 1772130026.3910
MEM 1989.996094 1772130026.4914
MEM 1989.996094 1772130026.5917
MEM 1991.906250 1772130026.6921
MEM 2010.507812 1772130026.7926
MEM 2029.179688 1772130026.8930
MEM 2037.843750 1772130026.9935
MEM 2045.824219 1772130027.0938
MEM 2049.519531 1772130027.1943
MEM 2051.019531 1772130027.2947
MEM 2060.433594 1772130027.3951
MEM 2061.867188 1772130027.4955
MEM 2064.417969 1772130027.5959
MEM 2067.332031 1772130027.6963
MEM 2068.714844 1772130027.7967
MEM 2078.289062 1772130027.8971
MEM 2079.777344 1772130027.9975
MEM 2081.199219 1772130028.0978
MEM 2084.101562 1772130028.1983
MEM 2085.628906 1772130028.2987
MEM 2090.128906 1772130028.3990
MEM 2090.128906 1772130028.4994
MEM 2090.128906 1772130028.5997
MEM 2090.128906 1772130028.7003
MEM 2090.128906 1772130028.8006
MEM 2121.660156 1772130028.9010
MEM 2107.867188 1772130029.0013
MEM 2119.015625 1772130029.1017
MEM 2117.539062 1772130029.2020
MEM 2117.539062 1772130029.3024
MEM 2117.539062 1772130029.4028
MEM 2117.539062 1772130029.5031
MEM 2117.539062 1772130029.6041
MEM 2117.539062 1772130029.7056
MEM 2129.464844 1772130029.8059
MEM 2123.617188 1772130029.9075
MEM 2123.617188 1772130030.0079
MEM 2123.617188 1772130030.1082
MEM 2123.617188 1772130030.2089
MEM 2123.617188 1772130030.3093
MEM 2123.617188 1772130030.4096
MEM 2132.660156 1772130030.5100
MEM 2128.488281 1772130030.6103
MEM 2128.488281 1772130030.7107
MEM 2128.488281 1772130030.8111
MEM 2128.488281 1772130030.9114
MEM 2128.488281 1772130031.0125
MEM 2128.488281 1772130031.1136
MEM 2130.468750 1772130031.2140
MEM 2134.105469 1772130031.3143
MEM 2134.605469 1772130031.4161
MEM 2134.605469 1772130031.5165
MEM 2134.605469 1772130031.6170
MEM 2134.605469 1772130031.7181
MEM 2134.605469 1772130031.8186
MEM 2134.605469 1772130031.9190
MEM 2134.941406 1772130032.0193
MEM 2134.941406 1772130032.1196
MEM 2134.941406 1772130032.2200
MEM 2134.941406 1772130032.3210
MEM 2134.941406 1772130032.4228
MEM 2134.941406 1772130032.5237
MEM 2134.941406 1772130032.6252
MEM 2134.988281 1772130032.7264
MEM 2134.988281 1772130032.8267
MEM 2134.988281 1772130032.9275
MEM 2134.988281 1772130033.0278
MEM 2134.988281 1772130033.1282
MEM 2134.988281 1772130033.2285
MEM 2135.792969 1772130033.3288
MEM 2135.792969 1772130033.4291
MEM 2135.792969 1772130033.5296
MEM 2135.792969 1772130033.6307
MEM 2135.792969 1772130033.7321
MEM 2135.792969 1772130033.8336
MEM 2135.792969 1772130033.9346
MEM 2135.847656 1772130034.0350
MEM 2135.847656 1772130034.1353
MEM 2135.847656 1772130034.2360
MEM 2135.847656 1772130034.3374
MEM 2135.847656 1772130034.4380
MEM 2135.847656 1772130034.5396
MEM 2141.789062 1772130034.6400
MEM 2135.867188 1772130034.7403
MEM 2135.867188 1772130034.8411
MEM 2135.867188 1772130034.9415
MEM 2135.867188 1772130035.0419
MEM 2135.867188 1772130035.1423
MEM 2135.867188 1772130035.2427
MEM 2141.808594 1772130035.3433
MEM 2136.367188 1772130035.4437
MEM 2136.367188 1772130035.5440
MEM 2136.367188 1772130035.6449
MEM 2136.367188 1772130035.7463
MEM 2136.367188 1772130035.8474
MEM 2136.367188 1772130035.9479
MEM 2136.664062 1772130036.0482
MEM 2136.664062 1772130036.1493
MEM 2136.664062 1772130036.2497
MEM 2136.664062 1772130036.3500
MEM 2136.664062 1772130036.4504
MEM 2136.664062 1772130036.5516
MEM 2136.664062 1772130036.6531
MEM 2136.761719 1772130036.7534
MEM 2136.761719 1772130036.8538
MEM 2136.761719 1772130036.9547
MEM 2136.761719 1772130037.0563
MEM 2136.761719 1772130037.1579
MEM 2136.761719 1772130037.2588
MEM 2136.761719 1772130037.3602
MEM 2140.742188 1772130037.4605
MEM 2136.765625 1772130037.5608
MEM 2136.765625 1772130037.6622
MEM 2136.765625 1772130037.7627
MEM 2136.765625 1772130037.8630
MEM 2136.765625 1772130037.9634
MEM 2136.765625 1772130038.0639
MEM 2140.750000 1772130038.1643
MEM 2136.773438 1772130038.2646
MEM 2136.773438 1772130038.3650
MEM 2136.773438 1772130038.4666
MEM 2136.773438 1772130038.5678
MEM 2136.773438 1772130038.6693
MEM 2136.773438 1772130038.7704
MEM 2142.714844 1772130038.8708
MEM 2136.773438 1772130038.9712
MEM 2136.773438 1772130039.0715
MEM 2136.773438 1772130039.1724
MEM 2136.773438 1772130039.2737
MEM 2136.773438 1772130039.3747
MEM 2136.773438 1772130039.4762
MEM 2140.750000 1772130039.5766
MEM 2136.773438 1772130039.6784
MEM 2136.773438 1772130039.7795
MEM 2136.773438 1772130039.8809
MEM 2136.773438 1772130039.9819
MEM 2136.773438 1772130040.0823
MEM 2136.773438 1772130040.1827
MEM 2140.753906 1772130040.2830
MEM 2136.777344 1772130040.3834
MEM 2136.777344 1772130040.4837
MEM 2136.777344 1772130040.5848
MEM 2136.777344 1772130040.6866
MEM 2136.777344 1772130040.7883
MEM 2138.707031 1772130040.8886
MEM 2136.777344 1772130040.9890
MEM 2136.777344 1772130041.0895
MEM 2136.777344 1772130041.1910
MEM 2136.777344 1772130041.2921
MEM 2136.777344 1772130041.3932
MEM 2136.777344 1772130041.4949
MEM 2142.718750 1772130041.5953
MEM 2136.777344 1772130041.6956
MEM 2136.777344 1772130041.7960
MEM 2136.777344 1772130041.8963
MEM 2136.777344 1772130041.9971
MEM 2136.777344 1772130042.0975
MEM 2136.777344 1772130042.1978
MEM 2136.789062 1772130042.2981
MEM 2137.289062 1772130042.3997
MEM 2137.289062 1772130042.5005
MEM 2137.289062 1772130042.6017
MEM 2137.289062 1772130042.7034
MEM 2137.289062 1772130042.8038
MEM 2143.300781 1772130042.9042
MEM 2137.359375 1772130043.0045
MEM 2137.359375 1772130043.1049
MEM 2137.359375 1772130043.2063
MEM 2137.359375 1772130043.3073
MEM 2137.359375 1772130043.4089
MEM 2137.359375 1772130043.5104
MEM 2143.300781 1772130043.6108
MEM 2137.359375 1772130043.7112
MEM 2137.359375 1772130043.8115
MEM 2137.359375 1772130043.9118
MEM 2137.359375 1772130044.0130
MEM 2137.359375 1772130044.1146
MEM 2137.359375 1772130044.2156
MEM 2143.308594 1772130044.3160
MEM 2137.367188 1772130044.4164
MEM 2137.367188 1772130044.5172
MEM 2137.367188 1772130044.6176
MEM 2137.367188 1772130044.7179
MEM 2137.367188 1772130044.8183
MEM 2137.367188 1772130044.9192
MEM 2137.367188 1772130045.0207
MEM 2137.367188 1772130045.1214
MEM 2137.367188 1772130045.2230
MEM 2137.367188 1772130045.3247
MEM 2137.367188 1772130045.4258
MEM 2137.367188 1772130045.5275
MEM 2143.308594 1772130045.6298
MEM 2137.367188 1772130045.7313
MEM 2137.367188 1772130045.8328
MEM 2137.367188 1772130045.9346
MEM 2137.367188 1772130046.0360
MEM 2137.367188 1772130046.1377
MEM 2137.367188 1772130046.2392
MEM 2141.343750 1772130046.3396
MEM 2137.367188 1772130046.4409
MEM 2137.367188 1772130046.5423
MEM 2137.367188 1772130046.6432
MEM 2137.367188 1772130046.7448
MEM 2137.367188 1772130046.8463
MEM 2137.367188 1772130046.9474
MEM 2143.308594 1772130047.0478
MEM 2137.367188 1772130047.1496
MEM 2137.367188 1772130047.2499
MEM 2137.367188 1772130047.3503
MEM 2137.367188 1772130047.4507
MEM 2137.367188 1772130047.5518
MEM 2137.367188 1772130047.6534
MEM 2143.312500 1772130047.7538
MEM 2137.371094 1772130047.8541
MEM 2137.371094 1772130047.9551
MEM 2137.371094 1772130048.0567
MEM 2137.371094 1772130048.1578
MEM 2137.371094 1772130048.2592
MEM 2137.371094 1772130048.3610
MEM 2137.371094 1772130048.4625
MEM 2137.371094 1772130048.5629
MEM 2137.371094 1772130048.6633
MEM 2137.371094 1772130048.7636
MEM 2137.371094 1772130048.8643
MEM 2137.371094 1772130048.9655
MEM 2143.312500 1772130049.0708
MEM 2137.371094 1772130049.1712
MEM 2137.371094 1772130049.2715
MEM 2137.371094 1772130049.3725
MEM 2137.371094 1772130049.4743
MEM 2137.371094 1772130049.5753
MEM 2137.371094 1772130049.6769
MEM 2141.359375 1772130049.7773
MEM 2137.382812 1772130049.8776
MEM 2137.382812 1772130049.9780
MEM 2137.382812 1772130050.0788
MEM 2137.382812 1772130050.1800
MEM 2137.382812 1772130050.2816
MEM 2137.382812 1772130050.3819
MEM 2137.382812 1772130050.4823
MEM 2137.382812 1772130050.5826
MEM 2137.382812 1772130050.6830
MEM 2137.382812 1772130050.7840
MEM 2137.382812 1772130050.8848
MEM 2137.382812 1772130050.9864
MEM 2143.324219 1772130051.0867
MEM 2137.382812 1772130051.1871
